time,x,y,z
11.962,0.05,0.45,0.93
11.966,0.04,0.44,0.98
11.977,0.02,0.37,1.01
11.987,-0.04,0.30,1.05
11.997,-0.03,0.32,1.00
12.010,0.02,0.41,1.05
12.033,0.08,0.55,1.00
12.034,0.05,0.39,0.99
12.036,0.12,0.38,0.93
12.054,0.23,0.18,0.52
12.056,0.11,0.38,0.86
12.073,0.03,0.54,1.03
12.076,0.02,0.51,1.13
12.094,0.01,0.48,1.18
12.116,-0.00,0.43,1.07
12.117,-0.01,0.42,1.03
12.118,-0.01,0.40,0.99
12.126,-0.00,0.37,0.96
12.137,-0.01,0.34,0.99
12.146,-0.05,0.37,1.02
12.158,-0.06,0.40,1.05
12.174,-0.13,0.22,1.07
12.176,0.11,0.42,1.16
12.188,0.11,0.42,1.05
12.196,0.06,0.41,0.89
12.207,0.01,0.49,0.72
12.222,0.06,0.41,0.81
12.227,0.03,0.38,0.84
12.245,-0.00,0.37,0.91
12.246,-0.03,0.36,0.99
12.257,-0.01,0.37,1.00
12.270,0.04,0.36,1.01
12.277,0.07,0.35,1.00
12.287,0.09,0.31,0.94
12.297,0.08,0.29,0.94
12.307,0.11,0.27,0.93
12.325,0.14,0.26,0.92
12.327,0.09,0.17,0.80
12.351,0.09,0.16,0.76
12.352,0.10,0.18,0.75
12.357,0.10,0.23,0.65
12.370,0.09,0.29,0.71
12.377,0.10,0.29,0.60
12.387,0.06,0.30,0.99
12.397,0.02,0.24,0.88
12.407,0.06,0.21,1.03
12.417,0.06,0.29,1.12
12.428,0.06,0.36,1.11
12.457,0.04,0.32,0.93
12.458,0.04,0.30,0.90
12.459,0.03,0.29,0.88
12.467,-0.02,0.32,0.86
12.477,-0.02,0.34,0.85
12.493,-0.01,0.36,0.87
12.497,-0.01,0.37,0.89
12.508,-0.03,0.37,0.88
12.517,-0.04,0.36,0.87
12.529,-0.05,0.36,0.88
12.559,-0.05,0.36,0.90
12.560,-0.05,0.33,0.95
12.561,-0.06,0.31,0.95
12.567,-0.08,0.29,0.94
12.577,-0.09,0.28,0.94
12.590,-0.09,0.31,0.91
12.597,-0.07,0.34,0.89
12.607,-0.07,0.36,0.89
12.617,-0.06,0.38,0.89
12.630,-0.07,0.37,0.89
12.637,-0.08,0.36,0.88
12.660,-0.08,0.35,0.88
12.661,-0.09,0.33,0.88
12.667,-0.10,0.33,0.89
12.678,-0.10,0.32,0.91
12.687,-0.10,0.33,0.92
12.697,-0.09,0.36,0.94
12.713,-0.10,0.38,0.96
12.717,-0.11,0.38,0.96
12.739,-0.10,0.37,0.94
12.740,-0.09,0.36,0.92
12.747,-0.09,0.34,0.90
12.758,-0.09,0.32,0.89
12.767,-0.09,0.31,0.89
12.777,-0.10,0.31,0.89
12.787,-0.10,0.31,0.89
12.797,-0.09,0.32,0.88
12.814,-0.09,0.34,0.90
12.817,-0.08,0.34,0.91
12.842,-0.09,0.34,0.94
12.843,-0.09,0.34,0.97
12.847,-0.08,0.32,1.00
12.860,-0.07,0.31,0.99
12.868,-0.07,0.31,0.97
12.878,-0.08,0.30,0.94
12.888,-0.08,0.30,0.93
12.897,-0.07,0.31,0.93
12.919,-0.07,0.31,0.93
12.921,-0.06,0.32,0.93
12.953,-0.05,0.32,0.94
12.954,-0.05,0.32,0.95
12.955,-0.05,0.31,0.97
12.957,-0.08,0.29,0.98
12.967,-0.09,0.29,0.92
12.982,-0.10,0.29,0.90
12.987,-0.09,0.31,0.92
13.007,-0.07,0.31,0.92
13.007,-0.08,0.30,0.90
13.017,-0.08,0.28,0.91
13.032,-0.09,0.28,0.96
13.037,-0.10,0.28,0.97
13.078,-0.10,0.29,0.98
13.079,-0.10,0.30,0.97
13.080,-0.10,0.30,0.94
13.081,-0.10,0.31,0.92
13.088,-0.11,0.31,0.91
13.099,-0.10,0.31,0.90
13.108,-0.10,0.31,0.89
13.118,-0.10,0.32,0.89
13.139,-0.10,0.31,0.88
13.141,-0.10,0.31,0.87
13.185,-0.11,0.31,0.87
13.186,-0.10,0.32,0.86
13.186,-0.10,0.32,0.86
13.186,-0.09,0.32,0.87
13.187,-0.09,0.31,0.88
13.203,-0.10,0.30,0.88
13.208,-0.10,0.31,0.88
13.221,-0.09,0.33,0.86
13.227,-0.09,0.32,0.87
13.241,-0.09,0.31,0.86
13.279,-0.09,0.32,0.87
13.280,-0.10,0.31,0.88
13.280,-0.11,0.31,0.89
13.280,-0.10,0.30,0.89
13.287,-0.11,0.30,0.89
13.299,-0.10,0.31,0.89
13.307,-0.10,0.31,0.89
13.317,-0.10,0.31,0.91
13.326,-0.11,0.32,0.93
13.338,-0.11,0.32,0.95
13.375,-0.10,0.32,0.96
13.376,-0.11,0.33,0.96
13.376,-0.11,0.34,0.94
13.377,-0.12,0.33,0.93
13.396,-0.13,0.32,0.91
13.397,-0.14,0.35,0.89
13.407,-0.14,0.36,0.89
13.419,-0.14,0.37,0.88
13.427,-0.14,0.38,0.88
13.440,-0.15,0.37,0.90
13.447,-0.15,0.37,0.90
13.479,-0.15,0.37,0.91
13.480,-0.15,0.36,0.92
13.481,-0.15,0.35,0.94
13.487,-0.14,0.35,0.92
13.497,-0.13,0.35,0.88
13.507,-0.12,0.35,0.85
13.523,-0.13,0.33,0.88
13.527,-0.15,0.32,0.95
13.560,-0.11,0.28,0.33
13.560,-0.11,0.37,0.80
13.561,-0.29,0.29,0.99
13.578,-0.33,0.26,1.08
13.579,-0.26,0.34,1.14
13.596,-0.16,0.45,1.02
13.596,-0.16,0.41,0.99
13.612,-0.21,0.34,0.96
13.627,-0.23,0.29,0.92
13.628,-0.19,0.32,0.92
13.648,-0.17,0.36,0.95
13.648,-0.14,0.38,0.97
13.660,-0.12,0.35,0.96
13.673,-0.07,0.28,0.83
13.676,-0.04,0.37,0.82
13.688,-0.06,0.40,0.79
